Project_Description,Budget,Website,GitHub Url,Twitter Url
,"$3,503",https://github.com/ElemeFE/element,,
"Flarum is next-generation forum software that is simple, fast & free.","$3,555",http://flarum.org/,,https://twitter.com/Flarum
Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress 💅,"$5,443",https://github.com/styled-components/styled-components,,
"This group is for Drupal Users and Developers in Sydney, Australia.","$3,248",https://www.meetup.com/drupalsydney/,,
Developer Tools to power-up Redux development workflow or any other architecture which handles the state change. It helps to boost the developer’s productivity significantly and makes the development fun.,"$2,138",https://github.com/zalmoxisus/redux-devtools-extension,,
,"$2,300",https://github.com/react-native-training/react-native-elements,,
We are Unconditional Basic Income Europe.,"€1,487",http://basicincome-europe.org/ubie/,,https://twitter.com/basicincomeEU
,"$1,137",http://codefor.miami/,https://github.com/code-for-miami,https://twitter.com/codeformiami
"Streetmix is a browser-based interactive tool that lets you design, remix, and share your neighborhood street. Add trees or bike paths, widen sidewalks or traffic lanes, and learn how your decisions can impact your community.","$2,142",http://streetmix.net/,,https://twitter.com/streetmix
Impact.tech is a community focused on solving world's biggest problems with technology.,$351,http://impact.tech/,,https://twitter.com/impactdottech
Pour la transparence du lobbying des industries de santé.,"€3,032",http://eurosfordocs.fr/,,https://twitter.com/eurosfordocs
We meet and discuss Django every month,"£3,891",http://www.djangolondon.com/,https://github.com/djangolondon,https://twitter.com/djangolondon
,"$1,612",https://github.com/tachyons-css/tachyons,,https://twitter.com/tachyons_css
,"$1,468",https://github.com/anmonteiro/lumo,,
"We are the maintainers of Tabula, the only free, open-source tool for liberating data trapped inside PDF files.","$1,543",http://tabula.technology/,,https://twitter.com/tabulapdf
"Nous sommes dissemblables, et nous sommes un mouvement. Nous portons un diagnostic partagé, que chacun d’entre nous exprime avec ses propres mots, en fonction de son équation personnelle. Et c’est tant mieux !",€0,https://www.facebook.com/groups/les100barbares/,,https://twitter.com/100barbares
Nodemon is a utility that will monitor for any changes in your source and automatically restart your server. Perfect for rapid development.,"$2,876",https://github.com/remy/nodemon,,https://twitter.com/rem
libpostal is a C library for parsing/normalizing street addresses around the world,"$2,500",https://github.com/openvenues/libpostal,,
,"$2,958",,,
,"$1,658",https://github.com/splitrb/split,,
,"$3,419",https://github.com/neuecc/UniRx,,
Network Monitoring Solution,"$3,068",https://github.com/librenms/librenms,,https://twitter.com/LibreNMS
You can make a difference to end homelessness,"€5,112",http://www.huneeds.be/,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$2,664",https://twitter.com/WWCode_Recife,,https://twitter.com/WWCode_Recife
Advanced geospatial analysis for browsers and Node.js,"$2,696",http://turfjs.org/,,https://twitter.com/turfjs
"KLWN Pride will be holding the first ever Pride Parade through King’s Lynn, Norfolk, UK on 18th August in 2018","£2,628",https://twitter.com/KLWNPride,,https://twitter.com/KLWNPride
A powerful templating engine for node.js and the browser,"$2,732",https://github.com/pugjs/pug,,https://twitter.com/pug_js
,"$3,418",https://github.com/sinonjs/sinon,,https://twitter.com/sinon_js
Tracking influencers' opinions,"£1,770",https://agreelist.org/,,
,"$3,049",https://bitfocus.io/companion,,
Asheville Drupal User Group and Drupal Camp Asheville,"$2,547",https://www.drupalasheville.com/,,https://twitter.com/drupalasheville
,"$2,455",,,
Create better NPM modules.,$781,http://www.kriasoft.com/babel-starter-kit,,
Effortless custom elements for modern view libraries.,$919,http://skatejs.netlify.com/,,https://twitter.com/skate_js
Constructive journalism about new power initiatives,"€3,250",https://thenewcitizen.co/,,https://twitter.com/newcitizenmedia
Community formed by women and men who generate Technology in search of knowledge and inclusion of women in the IT world.,"MX$1,041",http://techwo.org/,,https://twitter.com/t3chwo
The open collective community.,"$2,362",,,
