Project Name,No of Backers,Project Link
Ghost,6,https://opencollective.com/ghost
Co-Labs,2,https://opencollective.com/co-labs
DiEM25 Spontaneous Collective (DSC) Brussels,$827,https://opencollective.com/dscbrussels
Climate without Borders,4,https://opencollective.com/climatewborders
Cboard - Assistive Communication Board,$8,https://opencollective.com/cboard
NetSquared Vancouver (Net2van),28,https://opencollective.com/net2van-meetup
CIN,$621,https://opencollective.com/civicinnovationnetwork
file-icons,7,https://opencollective.com/file-icons
Data Pioneers Brussels,8,https://opencollective.com/datapioneersbrussels
inferno,€792,https://opencollective.com/inferno
Women Who Code Pune,9,https://opencollective.com/wwcodepune
Network Time Foundation,$773,https://opencollective.com/network-time-foundation
rom,1,https://opencollective.com/rom
RocketMod,£750,https://opencollective.com/rocketmod
Foynt,13,https://opencollective.com/foynt
Ithaca Adoption Community,$24,https://opencollective.com/ithacaadoptioncommunity
Global Challenges Collaboration,7,https://opencollective.com/globalchallengescollaboration
Grow-IoT,$924,https://opencollective.com/grow-iot
Shape Shifter,2,https://opencollective.com/shapeshifter
Open Recognition,23,https://opencollective.com/openrecognition
WWCode Beijing,1,https://opencollective.com/wwcodebeijing
verdaccio,$695,https://opencollective.com/verdaccio
react-native-router-flux,19,https://opencollective.com/react-native-router-flux
Open Miami,9,https://opencollective.com/openmiami-collective
Data for Good,15,https://opencollective.com/data_for_good
amethyst,$676,https://opencollective.com/amethyst
Women In Transition,17,https://opencollective.com/women-in-transition-
Bruxelles Nord - Sud,$341,https://opencollective.com/bruxelles-nord-sud
Bootstrap Material,12,https://opencollective.com/material
ReactJS Dallas,$67,https://opencollective.com/reactjs-dallas
Zewo,2,https://opencollective.com/zewo
RMWC,$637,https://opencollective.com/rmwc
openbabel,32,https://opencollective.com/openbabel
WWCode Wichita,3,https://opencollective.com/wwcodewichita
Women Who Code Cleveland,$656,https://opencollective.com/wwcodecleveland
Women Who Code Fort Collins,5,https://opencollective.com/wwcodefortcollins
WWCode Shanghai,$619,https://opencollective.com/wwcodeshanghai
WWCode Phoenix,16,https://opencollective.com/wwcodephoenix
